note_id,fo_word,fo_sentence,na_word,na_sentence,na_note,fo_sentence_audio,fo_word_audio,tags
84887000011,"<span style=""color:#888888""><b>Achtung</b></span>","<b><i><span style=""color:#888888"">Achtung</span></i></b> an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab. [sound:gtts-s1-bda07564-1dc61dda-a1c9434b-16ccd9bc-359501ab.mp3]<br><hr class=""sent-sep""><br><b><i><span style=""color:#888888"">Achtung</span></i></b>! Pass auf! Der Verkehr ist hier gefährlich. [sound:gtts-s2-273e1453-382c6bf3-bc6d0b4a-603b3894-de8ebe6c.mp3]",Pericol,"Atenție la platforma trei: închideți ușile. Trenul pleacă acum.<br><hr class=""sent-sep""><br>Pericol! Ai grijă! Traficul este periculos aici.",,,[sound:gtts-wort-1c160110-4ebb8601-6bddd7f5-1a242329-34bee162.mp3],OTHER
84887000012,"<span style=""color:#F5279F""><b>die</b></span> Adresse, -n","Können Sie mir Ihre <b><i><span style=""color:#F5279F"">Adresse</span></i></b> geben? [sound:gtts-s1-b9254f72-6efddd91-8d850dd1-80716886-e1c50888.mp3]",adresa,Îmi poți da adresa ta?,,,[sound:gtts-wort-4d465196-0812fdaa-67cc5623-efd861be-01fc9506.mp3],NOUN
84887000013,"<b>anfangen</b>, <span style=""color:#0DA6FF"">fing an</span>, hat <span style=""color:#FFFB3D"">angefangen</span>","Hier fängt die Bahnhofstraße <b><i><span style=""color:#0DA6FF"">an</span></i></b>. [sound:gtts-s1-3707ce34-53cb8fb8-8c68cfe9-7c839ff0-40681c22.mp3]<br><hr class=""sent-sep""><br>Der Unterricht fängt gleich <b><i><span style=""color:#0DA6FF"">an</span></i></b>. [sound:gtts-s2-2f93ddd4-3d820e3b-6b350661-2d0bfbe9-ebb5d61b.mp3]<br><hr class=""sent-sep""><br>Würden Sie bitte <b><i><span style=""color:#0DA6FF"">anfangen</span></i></b>? [sound:gtts-s3-3b368469-bd286bca-c7d61ee1-d831e3c0-4787d0ac.mp3]<br><hr class=""sent-sep""><br>Ich <b><i><span style=""color:#0DA6FF"">fange</span></i></b> im Herbst meine Ausbildung an. [sound:gtts-s4-4e4603a2-f8bfc2e2-e2935439-d0ec4a13-4d636db2.mp3]",ÎNCEPE,"Bahnhofstrasse începe aici.<br><hr class=""sent-sep""><br>Clasa este pe cale să înceapă.<br><hr class=""sent-sep""><br>Vrei să începi, te rog?<br><hr class=""sent-sep""><br>Îmi încep antrenamentele din toamnă.",,,[sound:gtts-wort-26b29dfd-b50edc11-55d66cfe-3aefed58-46fc830b.mp3],VERB
84887000014,"<span style=""color:#279FF5""><b>der</b></span> Anfang, ""-e","Sie wohnt am <b><i><span style=""color:#279FF5"">Anfang</span></i></b> der Straße. [sound:gtts-s1-49ec051e-2df78bdf-39eec3a9-b5be0ed8-c8a3692f.mp3]<br><hr class=""sent-sep""><br>Wir machen <b><i><span style=""color:#279FF5"">Anfang</span></i></b> Juli Urlaub. [sound:gtts-s2-e979c947-8d641ce7-c8635224-abd8a0bb-734a91f1.mp3]",Început,"Ea locuiește la începutul străzii.<br><hr class=""sent-sep""><br>Plecam in vacanta la inceputul lunii iulie.",,,[sound:gtts-wort-e1005426-67d0bba5-52118f5d-4e390c76-4497c7aa.mp3],NOUN
84887000015,"<span style=""color:#F5279F""><b>die</b></span> Angst, ""-e","Hab keine <b><i><span style=""color:#F5279F"">Angst</span></i></b>! [sound:gtts-s1-9b6493c4-761d2ccc-e1539934-049c8b1f-6dc65d4f.mp3]<br><hr class=""sent-sep""><br>Ich habe <b><i><span style=""color:#F5279F"">Angst</span></i></b> vor großen Hunden. [sound:gtts-s2-bf11e6fb-219611c1-b774589b-1a9b38c8-092b3ba7.mp3]",Frică,"Nu-ți fie frică!<br><hr class=""sent-sep""><br>Mi-e frică de câini mari.",,,[sound:gtts-wort-1be1b380-5648e7a6-e69ab18c-c7e3d744-1f06ca08.mp3],NOUN
84887000016,"<b>ankommen</b>, <span style=""color:#0DA6FF"">kam an</span>, <span style=""color:#FF1D23"">ist</span> <span style=""color:#FFFB3D"">angekommen</span>","Wann <b><i><span style=""color:#0DA6FF"">kommt</span></i></b> dieser Zug in Hamburg an? [sound:gtts-s1-1700aac4-a6bd5258-4c76d7cb-0c750db7-87ae50fa.mp3]",ajunge,Când ajunge acest tren în Hamburg?,,,[sound:gtts-wort-23e80a71-cd8b0b9c-bf6fd319-ffade2c0-b961b52d.mp3],VERB
84887000017,"<span style=""color:#F5279F""><b>die</b></span> Ahnung, -en","Ich hatte keine <b><i><span style=""color:#F5279F"">Ahnung</span></i></b>, dass du heute Geburtstag hast. [sound:gtts-s1-8c6afd4d-a29a58ff-dc33902e-53f1a3e2-c673a86c.mp3]<br><hr class=""sent-sep""><br>Wie spät ist es? - Ich habe keine <b><i><span style=""color:#F5279F"">Ahnung</span></i></b>. [sound:gtts-s2-5aa16088-5e11f190-3a7adf18-72717c34-9d84763c.mp3]",Idee,"Habar nu aveam că azi e ziua ta.<br><hr class=""sent-sep""><br>Cât este ceasul? - Nu am nici o idee.",,,[sound:gtts-wort-0ced8f6b-2bd200f2-ca557ef8-51d1fe80-0f7e57a9.mp3],NOUN
84887000018,"<span style=""color:#E88D1A""><b>aktiv</b></span>","Peter ist sehr <b><i><span style=""color:#E88D1A"">aktiv</span></i></b> und macht viel Sport. [sound:gtts-s1-7920314f-69be9942-1d24be3e-e7cb4423-248c249f.mp3]",activ,Peter este foarte activ și face mult sport.,,,[sound:gtts-wort-6e0c15e7-ed8e485c-696fe3e1-b2d6a088-4bd6fc95.mp3],ADJ
84887000019,"<span style=""color:#E88D1A""><b>aktuell</b></span>","Das ist das <b><i><span style=""color:#E88D1A"">aktuelle</span></i></b> Kinoprogramm. [sound:gtts-s1-642d635f-43d1a5d8-e204889c-9d2bfc80-82e39b1c.mp3]",actual,Acesta este programul de cinema actual.,,,[sound:gtts-wort-9d74acfd-e6990f07-352b7164-0335ac8b-5773b3f2.mp3],ADJ
84887000020,"<span style=""color:#C478B0""><b>alles</b></span>","Ich wünsche dir <b><i><span style=""color:#C478B0"">alles</span></i></b> Gute! [sound:gtts-s1-7ff9e9c5-25ec36cb-41610b76-55360a2a-e0713d87.mp3]<br><hr class=""sent-sep""><br>Hast du <b><i><span style=""color:#C478B0"">alles</span></i></b>? [sound:gtts-s2-18f52bbb-9c5ac3e0-9bdc143c-f9c6ead5-70c614fa.mp3]<br><hr class=""sent-sep""><br>Möchten Sie noch etwas? - Nein, danke. Das ist <b><i><span style=""color:#C478B0"">alles</span></i></b>. [sound:gtts-s3-1826a154-a0b117a2-be93ebfd-230a7f01-445f7864.mp3]",tot,"Îți doresc toate cele bune!<br><hr class=""sent-sep""><br>Ai de toate?<br><hr class=""sent-sep""><br>Mai doriţi şi altceva? - Nu, mulțumesc. Asta e tot.",,,[sound:gtts-wort-661308e1-431f650d-7afe46dc-c1eb1822-ce1fca3f.mp3],PRON
84887000021,"<span style=""color:#C478B0""><b>alle</b></span>","<b><i><span style=""color:#C478B0"">Alle</span></i></b> Freunde kommen. [sound:gtts-s1-fbdda78a-31a21c12-06d2c72e-49a9a58e-5c49d462.mp3]<br><hr class=""sent-sep""><br>Sind <b><i><span style=""color:#C478B0"">alle</span></i></b> da? - Nein, Rita fehlt noch. [sound:gtts-s2-54767fa5-4940ef25-16f7fd80-41584eb4-df67b91c.mp3]",toate,"Toți prietenii vin.<br><hr class=""sent-sep""><br>Toti sunt acolo? - Nu, Rita este încă dispărută.",,,[sound:gtts-wort-d0441627-5f6b7b5d-41e3831d-09384288-ac6f5f32.mp3],PRON
84887000022,"<b>anmachen</b>, <span style=""color:#0DA6FF"">machte an</span>, hat <span style=""color:#FFFB3D"">angemacht</span>","Mach bitte das Licht <b><i><span style=""color:#0DA6FF"">an</span></i></b>! [sound:gtts-s1-87845302-5303ceeb-58a81c30-6dd44ae3-23041636.mp3]",porniți,Vă rog să aprindeți luminile!,,,[sound:gtts-wort-1a894fb4-4c97fd32-95a0eb55-3c593ef2-64af0025.mp3],VERB
84887000023,"<span style=""color:#F5279F""><b>die</b></span> Ankunft, ""-e","Auf diesem Fahrplan steht nur die <b><i><span style=""color:#F5279F"">Ankunft</span></i></b> der Züge. [sound:gtts-s1-b63270a0-43537a8f-9437aa99-35f06f41-3a58d765.mp3]",Sosire,Acest orar arată doar sosirea trenurilor.,,,[sound:gtts-wort-1e44c863-1d191b97-e18c6d9b-ad563657-d1ab8d28.mp3],NOUN
84887000024,"<b>sich anmelden</b>, <span style=""color:#0DA6FF"">meldete an</span>, hat <span style=""color:#FFFB3D"">angemeldet</span>","Wo kann ich mich <b><i><span style=""color:#0DA6FF"">anmelden</span></i></b>? [sound:gtts-s1-cc85289b-2b4a65bf-0afdbf2c-14a1cdf2-8bdde49e.mp3]<br><hr class=""sent-sep""><br>Eine Anmeldung für diesen Kurs ist nicht mehr möglich. [sound:gtts-s2-ea44d7cf-c6bb514b-8c854b5d-dce3209d-57a82709.mp3]",Conectare,"Unde semnez?<br><hr class=""sent-sep""><br>Înregistrarea la acest curs nu mai este posibilă.",,,[sound:gtts-wort-15239647-bc4332cc-51a906b2-850f55b5-6dafd64d.mp3],VERB
84887000025,"<span style=""color:#F5279F""><b>die</b></span> Anmeldung, -en","Wo bekomme ich das Formular für die <b><i><span style=""color:#F5279F"">Anmeldung</span></i></b>? [sound:gtts-s1-dc9c3b1e-74d4b44a-cbffb070-8e69c2cb-d7e3f27c.mp3]",Înregistrare,De unde pot obține formularul de înregistrare?,,,[sound:gtts-wort-b1ecff0c-6c8d2838-7a4c8e6c-1a048893-ac7c7bd8.mp3],NOUN
84887000026,"<span style=""color:#279FF5""><b>der</b></span> Anrufbeantworter, -","Wir sind im Moment nicht da, sprechen Sie bitte auf den <b><i><span style=""color:#279FF5"">Anrufbeantworter</span></i></b>. [sound:gtts-s1-18cb8dcf-f5787995-720d79cd-9715f98e-08b02e28.mp3]",robot telefonic,"Nu suntem acolo momentan, vă rugăm să lăsați un robot telefonic.",,,[sound:gtts-wort-a10db162-d9e33646-1ed9007a-a4dacd95-491c55dd.mp3],NOUN
84887000027,"<b>anrufen</b>, <span style=""color:#0DA6FF"">rief an</span>, hat <span style=""color:#FFFB3D"">angerufen</span>","Kann ich Sie heute Abend <b><i><span style=""color:#0DA6FF"">anrufen</span></i></b>? [sound:gtts-s1-304051cf-31d73ec4-c1bae289-56b9f361-c5a62f4a.mp3]<br><hr class=""sent-sep""><br>Juan <b><i><span style=""color:#0DA6FF"">ruft</span></i></b> seine Freundin an. [sound:gtts-s2-2016a28c-426af2e5-a8f1b63c-05ed074e-a940ad05.mp3]",apel,"Pot să te sun în seara asta?<br><hr class=""sent-sep""><br>Juan își sună iubita.",,,[sound:gtts-wort-e92eaeb1-ee84be64-e1f686f2-8bf7774e-379cdd9c.mp3],VERB
84887000028,"<span style=""color:#279FF5""><b>der</b></span> Anruf, -e","Eva bekommt viele <b><i><span style=""color:#279FF5"">Anrufe</span></i></b> von ihrem Freund Juan. [sound:gtts-s1-7f71a1c6-c7bc3eff-a77bfd75-6a05cc74-f01c7757.mp3]",Apel,Eva primește multe apeluri de la iubitul ei Juan.,,,[sound:gtts-wort-ddf65340-848211c6-d4818acf-af11488a-7de4720d.mp3],NOUN
84887000029,"<span style=""color:#E88D1A""><b>allein</b></span>","Kommt seine Freundin mit? - Nein, er kommt <b><i><span style=""color:#E88D1A"">allein</span></i></b>. [sound:gtts-s1-7890cf9d-876a3fc8-374d639f-57c3b452-4ae57d39.mp3]<br><hr class=""sent-sep""><br>Soll ich Ihnen helfen? - Nein danke, ich schaffe das schon <b><i><span style=""color:#E88D1A"">allein</span></i></b>. [sound:gtts-s2-9f6939bb-e9ab5007-0f7fffef-e9e6608e-e01609ea.mp3]<br><hr class=""sent-sep""><br>Soll ich dir helfen? - Nein danke, ich schaffe das <b><i><span style=""color:#E88D1A"">allein</span></i></b>. [sound:gtts-s3-1181abcc-25796781-7245b895-ed58f0f2-62b3fdd3.mp3]",singur,"Iubita lui vine cu el? - Nu, vine singur.<br><hr class=""sent-sep""><br>Vrei să te ajut? - Nu, mulțumesc, o pot face singur.<br><hr class=""sent-sep""><br>Ar trebui să te ajut? - Nu, mulțumesc, pot face asta singur.",,,[sound:gtts-wort-7d74e84a-c38bdea3-c30a481a-b8ea4b82-cbb207ed.mp3],ADJ
84887000030,"<span style=""color:#E05C8A""><b>als</b></span>","Hector ist jünger <b><i><span style=""color:#E05C8A"">als</span></i></b> seine Schwester. [sound:gtts-s1-369d91c6-a7ce38ea-96a1386d-bff3fb51-9a392c15.mp3]<br><hr class=""sent-sep""><br>Sie arbeitet <b><i><span style=""color:#E05C8A"">als</span></i></b> Krankenschwester. [sound:gtts-s2-99c43980-5f00a09a-083932d6-7260e42a-ffa46eb0.mp3]",ca,"Hector este mai mic decât sora lui.<br><hr class=""sent-sep""><br>Lucrează ca asistentă medicală.",,,[sound:gtts-wort-8b1ac9ef-f1b9a7fb-d2a49288-86ac2de5-16886556.mp3],CONJ
84887000031,"<span style=""color:#E05C8A""><b>also</b></span>","<b><i><span style=""color:#E05C8A"">Also</span></i></b>, die Sache ist so: … [sound:gtts-s1-5d204cb3-124bf536-c6d7887a-035de14c-82879098.mp3]<br><hr class=""sent-sep""><br>Er hat Zeit, <b><i><span style=""color:#E05C8A"">also</span></i></b> kann er uns helfen. [sound:gtts-s2-4dce370c-4f92f625-e268f2d9-8f4664ba-acba91be.mp3]",aşa,"Deci iată chestia:...<br><hr class=""sent-sep""><br>Are timp, așa că ne poate ajuta.",,,[sound:gtts-wort-fffeabaa-5bf09f26-2dd2d302-303965af-cfc8b77e.mp3],CONJ
84887000032,"<span style=""color:#279FF5""><b>der</b></span> Anschluss, ""-e","In Mannheim haben Sie <b><i><span style=""color:#279FF5"">Anschluss</span></i></b> nach Saarbrücken. [sound:gtts-s1-a22e0135-d9c28c19-d8100cbb-a3f0004c-85b37811.mp3]<br><hr class=""sent-sep""><br>In Stuttgart erreichen Sie alle <b><i><span style=""color:#279FF5"">Anschlüsse</span></i></b>, auch der Zug nach Paris wartet. [sound:gtts-s2-67077305-72d4df4f-029176e4-ad4afde2-89e939e4.mp3]<br><hr class=""sent-sep""><br>Gibt es in der Wohnung einen Waschmaschinenanschluss? [sound:gtts-s3-7645a4b8-bb92d7f6-7bd64702-373de988-775a6e80.mp3]",Conexiune,"În Mannheim ai o legătură cu Saarbrücken.<br><hr class=""sent-sep""><br>În Stuttgart puteți ajunge la toate conexiunile, inclusiv cu trenul spre Paris.<br><hr class=""sent-sep""><br>Există conexiune la mașina de spălat în apartament?",,,[sound:gtts-wort-05f48a14-b3b5be08-c7a3f3a8-ad2e21ca-616fb486.mp3],NOUN
84887000033,"<b>ansehen</b>, <span style=""color:#0DA6FF"">sah an</span>, hat <span style=""color:#FFFB3D"">angesehen</span>","Darf ich eure Urlaubsfotos <b><i><span style=""color:#0DA6FF"">ansehen</span></i></b>? [sound:gtts-s1-0ec5de23-7007e50f-46b2e124-cdfd4325-853d3146.mp3]<br><hr class=""sent-sep""><br>Ich <b><i><span style=""color:#0DA6FF"">sehe</span></i></b> (mir) diese Sendung jeden Tag an. [sound:gtts-s2-0d299d6e-54abaa2c-1e5ed515-f5c162d9-2c479320.mp3]",vedere,"Pot să văd fotografiile din vacanță?<br><hr class=""sent-sep""><br>Urmăresc (văd) această emisiune în fiecare zi.",,,[sound:gtts-wort-8906a9be-08872eb0-16b0b7ef-5e609691-b72cbbd8.mp3],VERB
84887000034,"<b>antworten</b>, <span style=""color:#0DA6FF"">antwortete</span>, hat <span style=""color:#FFFB3D"">geantwortet</span>","Er <b><i><span style=""color:#0DA6FF"">antwortet</span></i></b> nicht. [sound:gtts-s1-54c28b8e-f95d89f7-c6141263-ab68cc62-12f96362.mp3]",răspuns,El nu răspunde.,,,[sound:gtts-wort-feb0c6ba-f0caf770-57bdb70b-a068ec9d-654c053d.mp3],VERB
84887000035,"<span style=""color:#F5279F""><b>die</b></span> Antwort, -en","Er gibt leider keine <b><i><span style=""color:#F5279F"">Antwort</span></i></b>. [sound:gtts-s1-0363fec1-d072187a-540bf7db-7657e3d5-109e6172.mp3]",Răspuns,"Din păcate, nu dă un răspuns.",,,[sound:gtts-wort-a7617739-7fb458c2-f4ddef56-0b235bcd-efe3191e.mp3],NOUN
84887000036,"<span style=""color:#E88D1A""><b>alt</b></span>","Wie <b><i><span style=""color:#E88D1A"">alt</span></i></b> sind Sie? [sound:gtts-s1-5b27c9be-910d32b9-08e3d722-979f6d83-3157ec83.mp3]<br><hr class=""sent-sep""><br>Mein Computer ist schon sehr <b><i><span style=""color:#E88D1A"">alt</span></i></b>. [sound:gtts-s2-9a7a649c-6ceeede9-c727d434-15c93b6b-90e1b88c.mp3]<br><hr class=""sent-sep""><br>Wir wohnen in einem ganz alten Haus. [sound:gtts-s3-0e2f808b-01074a1a-b9857dfe-ff60bfb3-0ce81db6.mp3]<br><hr class=""sent-sep""><br>Köln ist eine alte Stadt. [sound:gtts-s4-d62f2dc3-6047cbb8-c7588ae1-11bab71b-115e3077.mp3]",vechi,"Câți ani ai?<br><hr class=""sent-sep""><br>Computerul meu este deja foarte vechi.<br><hr class=""sent-sep""><br>Locuim intr-o casa foarte veche.<br><hr class=""sent-sep""><br>Köln este un oraș vechi.",,,[sound:gtts-wort-2ce2108f-e62d65e3-ea9877c7-d040fab7-f66df6dc.mp3],ADJ
84887000037,"<span style=""color:#9FF527""><b>das</b></span> Alter, (S.g.)","<b><i><span style=""color:#9FF527"">Alter</span></i></b>: 18 Jahre. [sound:gtts-s1-21503c0d-fa09fbc1-37c6c21d-aa64edb3-31cbef5a.mp3]",Vechi,Varsta: 18 ani.,,,[sound:gtts-wort-29a28a99-90f7f903-ecc39626-061e68f6-9eaa5695.mp3],NOUN
84887000038,"<span style=""color:#F5279F""><b>die</b></span> Ampel, -n","Du kannst fahren, die <b><i><span style=""color:#F5279F"">Ampel</span></i></b> ist grün. [sound:gtts-s1-d6f1ac2b-4ed8bb5b-bd913397-c03747f1-b4d263d3.mp3]<br><hr class=""sent-sep""><br>Nach der <b><i><span style=""color:#F5279F"">Ampel</span></i></b> musst du nach links fahren. [sound:gtts-s2-6dbca3c7-22fb27b7-3e5ac093-1555f7c0-b15e8f96.mp3]",Semafor,"Poți conduce, semaforul este verde.<br><hr class=""sent-sep""><br>După semafor trebuie să faceți stânga.",,,[sound:gtts-wort-ebfe184b-e96b0425-23d98620-052cae77-3a1d2b5e.mp3],NOUN
